epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.39396,0.9801,3.29481,3.42189,1.21367,0.00511,0.38678,0.15993,0.10833,0.00108,0.14881,0.00108,0.00024,1.24929,48.8007,3.36144,1.43484,0.0928,0.0008,0.0008
2,13.1846,1.22304,3.01322,2.2513,1.3536,0.68595,0.04167,0.11066,0.03694,0.00023,0.0351,0.00012,4e-05,2.53548,116.93,3.50955,4.38843,0.0846998,0.00169982,0.00169982
3,17.5769,1.15322,1.83283,1.63177,1.3724,0.00244,0.29643,0.01449,0.00399,0,0,0,0,3.90577,291.867,4.57772,10.9442,0.0765989,0.00259887,0.00259887
4,21.4416,1.14505,1.71,1.48431,1.35336,4e-05,0.00595,1e-05,0,0,0,0,0,4.04197,1960.35,inf,22.9209,0.0684966,0.00349658,0.00349658
5,25.6934,1.13993,1.65037,1.40894,1.32252,0.00616,0.45985,0.00855,0.00228,0,0,0,0,3.53505,1318.39,inf,45.9136,0.0603924,0.00439236,0.00439236
6,30.2332,1.14599,1.70553,1.33486,1.35839,6e-05,0.01724,3e-05,0,0,0,0,0,4.0792,5938.8,inf,69.5018,0.0522856,0.00528563,0.00528563
7,34.094,1.08379,1.54211,1.22304,1.32372,0.00021,0.01786,9e-05,3e-05,7e-05,0.00595,3e-05,1e-05,4.01966,1180.64,inf,29.914,0.0441758,0.0061758,0.0061758
8,37.9622,1.04097,1.52433,1.14792,1.24999,0.0001,0.01923,6e-05,1e-05,0,0,0,0,4.15942,216.05,70.9556,19.4207,0.0360623,0.0070623,0.0070623
9,42.7378,1.03809,1.39042,1.18527,1.25166,0.25953,0.03333,0.00912,0.00265,7e-05,0.00595,3e-05,1e-05,3.68438,322.556,7.77157,9.90144,0.0279445,0.00794454,0.00794454
10,46.5767,0.99815,1.37895,1.12964,1.22539,0.00247,0.11178,0.00293,0.00073,0,0,0,0,4.0485,484.242,7.90579,13.4678,0.019822,0.00882197,0.00882197
11,50.4674,0.97485,1.39306,1.0787,1.22098,0.2986,0.07615,0.04054,0.01367,0.00229,0.07143,0.00133,0.00079,2.91727,211.496,15.2873,8.06724,0.011694,0.00969399,0.00969399
